File,Section,Key,Value,Type,Comments
System.ini,iPLAS,iPLAS_SkipErrorCode,BSFO14;BSFO75;OTCH013,Network,
System.ini,SFIS,SFIS_Enable,1,Feature_Flag,
System.ini,SFIS,SFIS_AutoLogin,1,Other,
System.ini,SFIS,SFIS_LinkIPLAS,1,Network,
System.ini,SFIS,SFIS_WebLink,http://pxd-sftsp-n3.sfis.pegatroncorp.com/SFISWebService/SFISTSPWebService.asmx,Other,"SFIS_WebLink=http://172.18.125.49/SFISWebService/SFISTSPWebService.asmx,2,ErrorMapping.el; SFIS_WebLink=http://172.24.248.17/SFISWebService/SFISTSPWebService.asmx,2,ErrorMapping.el; SFIS_WebLink=http://172.24.255.113/SFISWebService/SFISTSPWebService.asmx,2,ErrorMapping.el; SFIS_WebLink=http://10.176.33.13/SFISWebService/SFISTSPWebService.asmx,2,ErrorMapping.el"
System.ini,SFIS,SFIS_TSP,"5GB,2",Other,
System.ini,SFIS,SFIS_OPID_LENGTH,9,Other,
System.ini,SFIS,SFIS_OPID_PATTERN,[L-S][0-9A-Z][0-9A-Z][0-9A-Z][0-9][0-9][0-9][0-9][0-9],Other,
System.ini,SFIS,SFIS_CheckRouteType,1,Other,
System.ini,SFIS,SFIS_RepairEnable,1,Feature_Flag,
System.ini,SFIS,SFIS_RepairType,1,Other,
System.ini,SFIS,SFIS_RepairReason,ZR,Feature_Flag,
System.ini,SFIS,SFIS_RepairDuty,7C0,Other,
System.ini,SFIS,SFIS_RepairNGRP,AUTO2A,Other,
System.ini,SFIS,SFIS_SkipSaveResultOnFail,0,Network,
System.ini,SFIS,SFIS_GetDateISN,111111111111111,Other,
System.ini,SFIS,SFIS_ResultFile,,File_Path,
System.ini,SFIS,SFIS_SaveGPRS,0,Other,
System.ini,SFIS,SFIS_SaveError,0,Other,
System.ini,SFIS,SFIS_LoginID,,Other,
System.ini,SFIS,SFIS_BreakGoName,,Feature_Flag,
System.ini,FTP,FTP_Enable,0,Feature_Flag,
System.ini,FTP,FTP_Host,172.24.255.135,Network,
System.ini,FTP,FTP_Folder,NOVA360/5G,File_Path,
System.ini,MiniCloud,MiniCloud_Enable,1,Feature_Flag,
System.ini,MiniCloud,MiniCloud_Host,172.22.248.50,Network,
System.ini,MiniCloud,MiniCloud_ProjectName,VALO360,Device_Info,
System.ini,MiniCloud,MiniCloud_ModelName,VALO360_5G,Device_Info,
System.ini,MiniCloud,MiniCloud_LogPath,,File_Path,
System.ini,MiniCloud,MiniCloud_iPLAS,0,Network,
System.ini,MiniCloud,MiniCloud_iPLASLogPath,,Network,
System.ini,MiniCloud,MiniCloud_DebugMode,0,Other,
System.ini,MiniCloud,MiniCloud_iPLASProjectName,VALO360,Network,
System.ini,MiniCloud,MiniCloud_BreakGo,0,Other,
System.ini,CSVReport,CSVReport_Enable,1,Communication,
System.ini,CSVReport,CSVReport_LogFile,VALO360_DeviceID_825242.csv,Communication,
System.ini,CSVReport,CSVReport_WhiteList,,Communication,
System.ini,CSVReport,CSVReport_ContactInfo,,Communication,
System.ini,CSVReport,CSVReport_ToHex,,Communication,
System.ini,Checksum,VALO360_TestFlow_20250324_MB_ER.xlsx,F99EBA0B7D22FBA9D7E37C9587944B66FAF089A3E1796C385C47FAB5E5CDB0D2,Other,
