ISN,#Status,#ErrorMessage,#DateTime,#TestTime,#DeviceID,003:connect UART,010:PRG_GET_EXEPATH,011:Open  Commnad Line,013:flash_firmware_checkDMpor,017:Check Login,018:Login Linux_root,019:Login Linux_PW,020:Check BOOT Status
UL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
LL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
AVG,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
MIN,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
MAX,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
STD,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
CpU,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
CpL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
Cpk,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
'888,PASS,PASS,2025-07-28_16-41-34,257,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_16-46-52,237,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_16-51-11,255,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_18-14-50,261,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_18-19-12,258,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_18-23-46,269,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_18-28-19,269,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_18-32-40,258,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
'LoopRunning,PASS,PASS,2025-07-28_18-36-59,256,512314,0,0,0,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#
