ISN,#Status,#ErrorMessage,#DateTime,#TestTime,#DeviceID,008:Open  Commnad Line,010:flash_firmware_checkDMpor,013:flash_firmware_checkDMpor,017:Check Login,018:Login Linux_root,019:Login Linux_PW,020:Check BOOT Status,022:Check PCIE MODE
UL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
LL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
AVG,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
MIN,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
MAX,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
STD,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
CpU,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
CpL,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
Cpk,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
'LoopRunning,PASS,PASS,2025-07-30_00-00-21,266,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-04-51,267,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-09-23,268,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-13-55,267,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-18-37,278,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-23-08,268,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-27-38,267,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
'LoopRunning,PASS,PASS,2025-07-30_00-31-50,248,512314,0,@DM PORT found,@SUCCESS,@Kangaroo login:,@Password,@Kangaroo,@~#,@MU310
